ts,rss_mb,frame_ms_ewma,queue_len,queue_cap,queue_dropped,budget_chart,budget_instant,budget_preview,gui_interval_ms,guardrail,background
1773391628.725175,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391628.877894,139.270,0.000,0,24,0,2,2,1,300,0,1
1773391629.724485,139.371,0.000,0,24,0,2,2,1,300,0,1
1773391629.788203,139.336,0.000,0,24,0,2,2,1,300,0,1
1773391630.331809,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391630.331951,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391630.615155,139.070,0.000,0,24,0,2,2,1,300,0,1
1773391630.723773,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391630.879508,139.270,0.000,0,24,0,2,2,1,300,0,1
1773391631.722064,139.371,0.000,0,24,0,2,2,1,300,0,1
1773391631.787258,139.336,0.000,0,24,0,2,2,1,300,0,1
1773391632.331993,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391632.615124,139.070,0.000,0,24,0,2,2,1,300,0,1
1773391632.724077,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391632.879822,139.270,0.000,0,24,0,2,2,1,300,0,1
1773391633.721732,139.371,0.000,0,24,0,2,2,1,300,0,1
1773391633.784553,139.336,0.000,0,24,0,2,2,1,300,0,1
1773391634.331591,141.039,0.000,0,24,0,2,2,1,300,0,1
1773391634.615791,139.070,0.000,0,24,0,2,2,1,300,0,1
1773391634.723725,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391634.877841,139.270,0.000,0,24,0,2,2,1,300,0,1
1773391635.721904,139.371,0.000,0,24,0,2,2,1,300,0,1
1773391635.787246,139.336,0.000,0,24,0,2,2,1,300,0,1
1773391636.332155,141.188,0.000,0,24,0,2,2,1,300,0,1
1773391636.615673,139.074,0.000,0,24,0,2,2,1,300,0,1
1773391636.721744,142.117,0.000,0,24,0,2,2,1,300,0,1
1773391636.879220,139.270,0.000,0,24,0,2,2,1,300,0,1
1773391637.721885,139.371,0.000,0,24,0,2,2,1,300,0,1
1773391637.787507,139.336,0.000,0,24,0,2,2,1,300,0,1
